PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
qXXr8,2k5/8/2P5/2KpP3/7p/8/8/8 w - - 0 57,c5d5 h4h3 e5e6 h3h2 e6e7 h2h1q,659,95,95,15809,advancedPawn crushing endgame long pawnEndgame promotion,https://lichess.org/wQGoTMcr#113,
KM0Nq,8/8/1P6/4k3/2K2p1p/8/7P/8 b - - 0 48,f4f3 b6b7 f3f2 b7b8q,667,82,100,15742,advancedPawn crushing endgame master pawnEndgame promotion short,https://lichess.org/tmccnY9c/black#96,
gF0vO,2kr1b1r/pp3pp1/2p4p/2qN4/5B1P/4QP1R/PPP2P2/2KR4 b - - 0 15,d8d5 e3e8 d5d8 d1d8,695,83,90,15533,mate mateIn2 middlegame pillsburysMate queensideAttack short,https://lichess.org/h9s5MzIy/black#30,Englund_Gambit Englund_Gambit_Other_variations
KSfmP,r1r5/R2Rp1b1/1p3pk1/5np1/3P3p/P4N1P/1P3PPB/6K1 w - - 1 25,a7a8 c8c1 f3e1 c1e1,672,101,96,15500,backRankMate mate mateIn2 middlegame short,https://lichess.org/Wf0StcuF#49,
g2jQG,r4rk1/ppp2ppp/2nq4/8/4P1n1/2NP4/PPP1N1PP/R2Q1RK1 w - - 5 13,d1e1 d6h2,682,78,100,15453,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/0Ux4fa1F#25,Mieses_Opening Mieses_Opening_Other_variations
j8ANq,7r/3kr3/p1p2p2/PpPp1Pp1/1P1P1nN1/6BP/4R1PK/8 w - - 0 39,e2e7 d7e7 g3f4 g5f4,691,119,96,9495,crushing endgame short,https://lichess.org/zGXjHw5q#77,
ZBAZd,r4k2/pp3pp1/1qn2b1p/2p5/B2P4/3PQ1BP/PP3PP1/4R1K1 b - - 0 24,c6d4 e3e8 a8e8 e1e8,641,104,98,9371,mate mateIn2 middlegame operaMate sacrifice short,https://lichess.org/Cxbnk6Jh/black#48,
reNYS,6k1/4qp2/2p1r2p/1pPp2p1/r2b4/P1Q2P2/R4BPP/4RK2 w - - 0 31,f2d4 e6e1 c3e1 e7e1 f1e1 a4d4,615,105,97,6210,crushing long middlegame,https://lichess.org/Zq98NNCe#61,
5tcmZ,4r2k/R7/5N1p/p7/5p2/1P5P/P4PPK/2r5 b - - 5 44,e8f8 a7h7,663,96,95,5982,arabianMate endgame mate mateIn1 oneMove,https://lichess.org/8OsFjM2U/black#88,
4xTy2,r1q2rk1/pp1n1pbp/2np3B/2p5/6Q1/8/PPP2PBP/RN3RK1 b - - 3 15,d7e5 g4g7,626,80,94,5740,kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/P1EPiJ6s/black#30,Kings_Pawn_Game Kings_Pawn_Game_Other_variations
