PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
X7iLj,8/8/8/8/5K1p/7k/P3Q1p1/8 w - - 0 51,f4f3 g2g1n f3f2 g1e2,849,88,93,27503,advancedPawn crushing endgame fork master promotion short underPromotion,https://lichess.org/QrILJv8L#101,
thYKI,8/pR1P4/7p/1kP3p1/3K4/8/P7/4r3 b - - 4 45,b5c6 d7d8n,874,84,91,24500,advancedPawn cornerMate endgame mate mateIn1 oneMove promotion underPromotion,https://lichess.org/F7lDXpEt/black#90,
jf1yR,r2r4/4kpbp/3pp3/6p1/Bp1NP3/3R1PP1/1P4KP/3R4 b - - 0 26,a8a4 d4c6 e7e8 c6d8,877,82,97,20970,advantage endgame fork master short,https://lichess.org/XzsH15zq/black#52,
p1Nld,8/p2P2k1/7p/6q1/4Q3/6P1/P3p1KP/8 w - - 0 45,e4d3 e2e1n g2f1 e1d3,843,85,92,18941,advancedPawn crushing endgame fork promotion short underPromotion,https://lichess.org/qCANfejk#89,
whxxo,r6k/p1q3pp/2Q5/2pp4/B7/3P2P1/PPP2r1b/RNB4K b - - 0 18,c7g3 c6a8 g3b8 a8b8,897,98,87,18100,crushing hangingPiece middlegame short,https://lichess.org/ZMSwZKX2/black#36,Sicilian_Defense Sicilian_Defense_Old_Sicilian
5u1Wk,r1bq2rk/ppb2p2/2pp1p1p/4nN2/4P3/P1NB2QP/1PP2PP1/3R1RK1 w - - 2 16,g3h4 e5f3 g1h1 f3h4,864,77,94,17481,crushing kingsideAttack middlegame pin short,https://lichess.org/TcSOah3J#31,Kings_Pawn_Game Kings_Pawn_Game_Other_variations
6FooS,2k1R3/ppb3qp/2p5/2P2p2/PPQr1p2/5P2/5NPP/5K2 b - - 1 25,c8d7 c4e6,896,79,97,16952,endgame master mate mateIn1 oneMove triangleMate,https://lichess.org/foD9PF1J/black#50,
FF8ot,2k3r1/pp2pp2/3p3p/1NqP4/2n1P1r1/P1R5/2PQ2PP/5R1K w - - 6 26,d2e2 g4g2 e2g2 g8g2,853,78,98,16276,crushing master middlegame short,https://lichess.org/ui2lDeia#51,
OGeQW,r1b1k3/ppp1nprp/3p4/3N4/8/5N2/P3BPPP/R3R1K1 b q - 1 15,e7d5 e2b5 e8d8 e1e8,855,82,95,15857,discoveredCheck doubleCheck mate mateIn2 middlegame operaMate short,https://lichess.org/w23hFcaW/black#30,Ponziani_Opening Ponziani_Opening_Jaenisch_Counterattack
IXqrY,2r2rk1/p4q1p/b1n1R1p1/PN1Q4/1P6/2P5/5PPP/R5K1 w - - 1 25,b5d6 f7f2 g1h1 f2f1 a1f1 f8f1,858,87,100,15775,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/54wEiuWr#49,
YRKEI,4rN2/3R2P1/1p3k2/p4P2/3P1K2/1r6/8/8 b - - 3 48,b3e3 g7g8n,882,86,88,15505,advancedPawn cornerMate endgame mate mateIn1 oneMove promotion underPromotion,https://lichess.org/Ee2yzx3I/black#96,
CzEOB,1k1r4/3q4/8/7p/Q4B2/6PP/5P1K/8 b - - 2 65,b8c8 a4a8,814,78,100,15474,endgame mate mateIn1 oneMove,https://lichess.org/FW9VQurw/black#130,
tbo4y,r3kr2/pp4Q1/6n1/1p2pb2/6P1/q1P5/P4P1P/3R1RK1 b q - 0 18,f5e4 g7d7,899,88,95,15456,mate mateIn1 middlegame oneMove,https://lichess.org/86oM19xh/black#36,Scotch_Game Scotch_Game_Other_variations
yCGtw,5r1k/3b1rR1/p1pp3p/1p1P4/1P2PP1q/P2B3P/6Q1/6RK b - - 0 34,d7h3 g7g8 f8g8 g2g8,826,102,95,15439,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/mmgPLd1x/black#68,
zHbQ0,6k1/pp3pp1/7p/8/2Qq3r/P7/1PR2RPP/5rK1 w - - 0 30,g1f1 d4d1,830,80,90,15406,endgame mate mateIn1 oneMove,https://lichess.org/dYy7g5Wy#59,
S1QWM,r4rk1/2pb2b1/p2p1q1Q/1p1P1P2/7P/3B1P2/PPP5/1K1R2R1 w - - 3 21,g1g6 f6b2,856,80,89,15337,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/b6GclquI#41,
eU5uW,r2q1rk1/pp1n1p2/4bn1Q/2bp4/8/2NB1N2/PPP2PPP/R3R1K1 b - - 0 13,f6g4 h6h7,864,87,96,15326,mate mateIn1 middlegame oneMove,https://lichess.org/bFlJnvcP/black#26,French_Defense French_Defense_Queens_Knight
ie05Q,4r1k1/pp3pb1/2p3q1/3P2pR/4r1p1/P1B3P1/1PP2P1Q/R5K1 b - - 0 32,c6d5 h5h8 g7h8 h2h8,872,93,97,14297,kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/ODhAaaNf/black#64,
GLHro,6k1/pp1q2pp/3br3/5p2/1P6/P7/1RP2PPP/3QR1K1 w - - 0 24,d1d5 d6h2 g1h2 d7d5 e1e6 d5e6,836,79,98,14237,crushing discoveredAttack endgame long,https://lichess.org/Jljonjyv#47,
gFqgK,8/8/p1p5/1P2k3/P2p4/3P1p2/2P1pKr1/R1B5 w - - 2 35,f2f3 e2e1n,817,88,89,13056,advancedPawn cornerMate endgame master mate mateIn1 oneMove promotion underPromotion,https://lichess.org/9muULATc#69,
k0ioH,1r2k3/5pb1/4p3/3pP3/Pq6/p1Q2B2/P5R1/K5R1 w - - 10 47,g2g7 b4c3,849,79,97,12969,endgame hangingPiece master mate mateIn1 oneMove,https://lichess.org/s1q3zk3p#93,
egj00,r4rk1/1bq1bpp1/pp2pn1p/2pP4/2n1N3/P3P3/1BQ2PPP/RB3RK1 b - - 1 17,c4b2 e4f6 e7f6 c2h7,886,91,96,12502,clearance kingsideAttack mate mateIn2 middlegame short,https://lichess.org/EMuxi9gB/black#34,Slav_Defense Slav_Defense_Other_variations
IxDCm,2rr2k1/p4p1p/1p4p1/8/4B1b1/P5P1/1bR1NPP1/2R1K3 w - - 0 26,c2b2 c8c1 e2c1 d8d1,853,85,96,12453,mate mateIn2 middlegame operaMate short,https://lichess.org/ppooR2b3#51,
T2Eha,8/8/2p5/k7/P1K1pr2/8/2P5/4R3 b - - 1 33,a5a4 e1a1,887,75,98,12201,endgame master mate mateIn1 oneMove rookEndgame,https://lichess.org/dTySJZKE/black#66,
O5i7y,5r1k/p3p1bp/4Q1p1/4p3/2Pq4/2N5/PP4PP/5R1K w - - 3 21,f1d1 d4d1 c3d1 f8f1,894,90,97,11739,backRankMate endgame mate mateIn2 sacrifice short,https://lichess.org/Oy1KV0l3#41,
Uuvm0,1r6/8/P4k1K/4p3/R6P/8/8/8 w - - 1 47,a6a7 b8h8,881,79,98,11643,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/FhkVEwnR#93,
do8Pl,4r1k1/p4ppp/1p6/3bn2q/8/P3RNP1/1P1Q1PBP/6K1 b - - 0 22,e5f3 g2f3 h5h2 g1h2,857,76,100,10912,crushing middlegame short,https://lichess.org/w1HuOOsB/black#44,
